horizon,model,MASE,sMAPE,RMSE
1,last_value,0.6386338128762371,15.042289236432932,2347.1993358516065
2,ridge_log_history,0.8525261778431287,20.372684765450547,3352.635330904642
3,ridge_log_history,0.9332517717954618,22.68472481507839,3647.1937558032882
4,ridge_log_history,1.0902619365648025,27.26874827360442,3980.092629646242
