horizon,model,n,MASE,sMAPE,RMSE,direction_accuracy,n_actual_large_rises_20pct,large_rise_direction_recall,large_rise_20pct_recall
1,huber_raw,36,0.6028165111611022,14.707499033957594,2350.4013613011907,0.6111111111111112,4,0.0,0.0
1,ridge_logratio_alpha1,36,0.6312179076978593,15.257556254832197,2261.0422092086696,0.5555555555555556,4,0.75,0.0
1,ridge_raw_alpha1,36,0.74047763998004,18.12982893944804,2394.5591328725504,0.4722222222222222,4,0.5,0.0
1,ridge_delta_alpha1,36,0.7452834346346408,18.162041944615,2394.430210582244,0.4444444444444444,4,0.5,0.0
1,elasticnet_log_a001,36,0.7712703874510457,18.345426070936316,2900.8685164177873,0.6111111111111112,4,0.0,0.0
1,ridge_log_alpha1,36,0.7720408180327152,18.437788125468455,2886.6713736730517,0.6111111111111112,4,0.0,0.0
1,elasticnet_log_a01,36,0.802015087252094,19.202948699113474,3005.199559047331,0.6666666666666666,4,0.25,0.0
1,huber_log,36,0.8165457282760119,19.545541541647626,3025.315952489049,0.6388888888888888,4,0.0,0.0
1,elasticnet_log_a1,36,0.9147532710448176,22.851672867828725,3130.3630478475516,0.6111111111111112,4,0.5,0.0
2,huber_raw,35,0.7873878877978732,19.086099429817565,3158.9523996967687,0.6857142857142857,4,0.5,0.0
2,ridge_logratio_alpha1,35,0.8376683430920161,20.514170474330694,3199.242369135032,0.5714285714285714,4,0.25,0.0
2,ridge_log_alpha1,35,0.8525261778431287,20.372684765450547,3352.635330904642,0.7428571428571429,4,0.5,0.0
2,elasticnet_log_a001,35,0.8566116592999965,20.481947505443834,3352.9223523022556,0.7142857142857143,4,0.5,0.0
2,huber_log,35,0.8735473429916809,20.841268017678814,3467.250701771807,0.6857142857142857,4,0.25,0.0
2,elasticnet_log_a01,35,0.8924916007572431,21.579701460243868,3429.813709038353,0.6571428571428571,4,0.5,0.0
2,elasticnet_log_a1,35,0.9872289939783748,24.8951644250091,3390.525421913891,0.6,4,0.75,0.25
2,ridge_raw_alpha1,35,1.0587042444526482,26.548520671704672,3440.766817560613,0.5142857142857142,4,0.75,0.0
2,ridge_delta_alpha1,35,1.0675011094002744,26.6979680160005,3442.3712368358574,0.5142857142857142,4,0.75,0.0
3,huber_log,34,0.931116846270321,22.47424602914043,3742.758390871345,0.7647058823529411,5,0.4,0.0
3,elasticnet_log_a001,34,0.93175273637129,22.645418570566527,3647.732982501545,0.7352941176470589,5,0.6,0.0
3,huber_raw,34,0.9319758695694457,22.654618369389425,3656.4409926610706,0.6764705882352942,5,0.4,0.0
3,ridge_log_alpha1,34,0.9332517717954618,22.68472481507839,3647.1937558032882,0.7352941176470589,5,0.6,0.0
3,elasticnet_log_a01,34,0.9456314868915665,23.18254945107431,3692.2552591439803,0.7058823529411765,5,0.6,0.0
3,elasticnet_log_a1,34,1.0419632825513383,26.588995060614817,3548.6562319742343,0.6176470588235294,5,0.6,0.4
3,ridge_logratio_alpha1,34,1.1668209106820697,28.267335633886503,3867.5861674638713,0.5882352941176471,5,0.6,0.0
3,ridge_raw_alpha1,34,1.375333843159788,34.29211178457559,4131.063348032659,0.5294117647058824,5,0.8,0.0
3,ridge_delta_alpha1,34,1.376231642957938,34.2058368178167,4122.469609069638,0.5294117647058824,5,0.8,0.0
4,elasticnet_log_a01,33,1.0430033199819757,26.253182262522618,3904.5879242855617,0.696969696969697,7,0.7142857142857143,0.14285714285714285
4,huber_log,33,1.0514067571936636,26.21867454503617,3996.9664076456284,0.7575757575757576,7,0.42857142857142855,0.0
4,elasticnet_log_a001,33,1.0873892468515516,27.188522878419885,3972.833549404004,0.696969696969697,7,0.5714285714285714,0.14285714285714285
4,ridge_log_alpha1,33,1.0902619365648025,27.26874827360442,3980.092629646242,0.696969696969697,7,0.5714285714285714,0.14285714285714285
4,elasticnet_log_a1,33,1.0999316447859389,28.36995670207982,3675.9965552694753,0.6666666666666666,7,0.8571428571428571,0.5714285714285714
4,huber_raw,33,1.1513567989508628,28.274326681775143,4050.155645639955,0.7272727272727273,7,0.7142857142857143,0.0
4,ridge_logratio_alpha1,33,1.5278712883472492,37.17370655091883,4523.994805040455,0.3939393939393939,7,0.7142857142857143,0.14285714285714285
4,ridge_raw_alpha1,33,1.7937616866006878,43.91934735356691,4833.745179772121,0.45454545454545453,7,0.8571428571428571,0.14285714285714285
4,ridge_delta_alpha1,33,1.8010386794142188,44.00982235424578,4838.697831876983,0.45454545454545453,7,0.8571428571428571,0.14285714285714285
