horizon,xgb_gdelt_features,xgb_gdelt_world_bank,xgb_target_history,gdelt_vs_history_improvement_pct,world_bank_vs_gdelt_improvement_pct
1,3087.804853247488,3127.845457917691,3314.3433168944107,6.8350934706182604,-1.296733652973294
2,4214.039623517225,4515.772558548714,4420.536914684312,4.671316972405246,-7.160182674781063
3,5869.580145958641,5756.937879169984,5549.850937981563,-5.761041360389415,1.9190855902396085
4,5645.1373357464,5810.990397649574,5801.886509003555,2.7016931995120346,-2.9379809921178
