week_start,conflict_count,total_events_country,avg_goldstein,goldstein_std,avg_tone,conflict_mentions,total_mentions_country
2023-01-09,3180,23371,-9.8625786163522,0.31073225035062341,-6.8102289283425534,14918,116040
2023-01-16,2926,23755,-9.850649350649352,0.3214463926190238,-6.2349216089080564,14061,118886
2023-01-23,7751,35279,-9.8951103083473058,0.28209462623927994,-7.7015540939858633,40239,180454
2023-01-30,5665,35045,-9.8697263901147352,0.31058255698072412,-6.7758804105543087,27063,166811
2023-02-06,3837,22352,-9.8904091738337261,0.28640878855199786,-7.4595893638868009,19391,112308
2023-02-13,3650,26057,-9.8546575342465736,0.32969663174300423,-6.6931409647205662,17671,131556
2023-02-20,4837,28220,-9.88918751292123,0.28438275959501486,-7.537474525520663,24024,143024
2023-02-27,5692,29107,-9.8551475755446223,0.31987938555525197,-6.8653394781015482,28179,147249
2023-03-06,5421,29010,-9.8792658181147424,0.29439082075100986,-7.0640689018467011,28035,147030
2023-03-13,3635,25834,-9.8627235213204951,0.3101205391455471,-6.534177665954445,18512,131993
2023-03-20,2978,21344,-9.836299529885828,0.33742390914694359,-6.3977713287460558,15135,108933
2023-03-27,4864,43632,-9.83079769736842,0.34765052762102044,-6.000388510197892,27520,233202
2023-04-03,14739,53856,-9.8781803378791,0.30489101125849644,-6.7021269508463837,77756,285516
2023-04-10,7063,33643,-9.87823870876398,0.306353307681351,-6.0461887143626223,33167,170083
2023-04-17,3680,28353,-9.8513586956521753,0.32733291180589991,-5.6255348316188645,17898,139089
2023-04-24,4040,27922,-9.8683168316831686,0.3150686797391542,-6.2714133651431654,19702,140535
2023-05-01,6545,35682,-9.8847975553857932,0.29387007423676259,-7.5769791858226112,32349,175024
2023-05-08,11805,45188,-9.9022024565861955,0.27724969877364053,-6.98407230283405,60587,230624
2023-05-15,4739,30852,-9.8610466343110321,0.32460945417587295,-5.9433993022436438,23501,156186
2023-05-22,4344,26060,-9.8418508287292816,0.339932514647577,-7.1282259757403192,21776,129633
2023-05-29,4998,29278,-9.86144457783113,0.328671399672971,-6.463043569921572,24719,140155
2023-06-05,4338,28342,-9.8628400184416787,0.31720687385962315,-6.4928521023977535,21278,137360
2023-06-12,3700,28051,-9.8487837837837837,0.33480798184313615,-6.7934226834803306,17464,136348
2023-06-19,9357,35890,-9.8488297531260027,0.33689978151208566,-7.9732024883914026,44994,176826
2023-06-26,3823,27329,-9.8263144127648445,0.36066859322390421,-6.1440923932294478,19454,134276
2023-07-03,10013,40518,-9.8354638969339874,0.3458672116090144,-7.2043051383780821,50124,207173
2023-07-10,4271,30637,-9.8009833762584879,0.3670682219738875,-6.6321517965384951,22318,158138
2023-07-17,3784,35075,-9.8217494714587712,0.36717697594989379,-5.8996554687784322,19151,174124
2023-07-24,3953,33654,-9.8272198330381979,0.35390789203378614,-6.7450713624427294,20447,173757
2023-07-31,5874,28452,-9.8558903643173323,0.34959079320853487,-7.3899418101623473,27566,139950
2023-08-07,4109,26189,-9.8555609637381352,0.32932221858832356,-6.9657748702352205,20821,131094
2023-08-14,3951,25803,-9.864717792963809,0.31560336441515607,-7.2743582425988542,19804,129009
2023-08-21,4976,25543,-9.8808279742765261,0.30153076419825908,-7.5953282861563833,23827,126222
2023-08-28,4383,28450,-9.84040611453343,0.33681532546464227,-7.3405609067444146,21676,140454
2023-09-04,4146,30777,-9.8397250361794555,0.34303241714714111,-7.2208479020706351,20274,149498
2023-09-11,3445,27105,-9.8526850507982573,0.32909074012820377,-6.7212261219154721,17499,131618
2023-09-18,4877,34012,-9.8666188230469558,0.32277049514048356,-6.9912012555689627,24452,159332
2023-09-25,3537,26406,-9.8365846762793332,0.34691022369748786,-6.7228422323143295,17975,125372
2023-10-02,20671,84184,-9.7941560640510819,0.38577349918358184,-6.4655769158071248,108896,438750
2023-10-09,57466,299380,-9.7723262450840487,0.40837573073075345,-5.7185780785967086,294638,1515377
2023-10-16,43890,264322,-9.7748462064251562,0.40307240747794026,-5.8435015803273886,223555,1301590
2023-10-23,36262,202744,-9.7846092328056837,0.40026467391491849,-5.7596741217137222,182277,1012436
2023-10-30,37039,194577,-9.7873052728205447,0.39270478188758695,-5.8210856656607186,190727,967896
2023-11-06,30694,173661,-9.7849905518993925,0.3984254983878619,-5.6157736246342624,155763,859940
2023-11-13,26859,155361,-9.7599128783647888,0.41290559960455908,-5.6105399519792192,139232,796402
2023-11-20,22971,151420,-9.7435244438640023,0.42728676249843017,-5.3343337163390032,118888,776397
2023-11-27,22571,140366,-9.7524035266492373,0.41990552710293549,-5.6556607541581778,116047,712521
2023-12-04,22592,116171,-9.7910543555240821,0.39284592650452854,-5.9070937516009536,115984,595093
2023-12-11,20339,110245,-9.8002114164904945,0.38444463041804411,-6.00624380420502,103057,557325
2023-12-18,18270,96882,-9.7996442255062934,0.3881099780386208,-6.0269016059234568,92718,488626
2023-12-25,20149,83686,-9.8265670752890948,0.36945816696222522,-6.3272030569838993,102232,425301
2024-01-01,19232,86812,-9.83121880199667,0.36585991552080277,-6.5243062918298005,95320,427623
2024-01-08,18301,96385,-9.8041637069012637,0.38240843938132618,-6.3379667041592782,90610,471301
2024-01-15,17176,88503,-9.81200512342804,0.37556087457604326,-6.0233862520493613,87300,445341
2024-01-22,14640,92085,-9.8005464480874309,0.38577369298145586,-5.8426904442640222,75612,470400
2024-01-29,15139,87560,-9.80807847281855,0.38192429197696537,-5.9602306853254712,77184,437221
2024-02-05,14023,87245,-9.79405262782571,0.38484372393589866,-5.804201487610678,69803,423893
2024-02-12,15970,98753,-9.7589542892924257,0.41110245824471775,-5.8865630892137837,81518,489326
2024-02-19,13799,84994,-9.77342561055149,0.40420721640332308,-6.1207111618333405,69660,424551
2024-02-26,14368,87714,-9.8008769487750591,0.38029425130832689,-5.6424640439558473,74755,439947
2024-03-04,12769,82227,-9.7822852220220824,0.39002410973343032,-5.8720642012110034,64329,408083
2024-03-11,12334,76785,-9.7956867196367732,0.38940506377826523,-5.4475302568742467,63321,385200
2024-03-18,13948,82543,-9.7893963292228285,0.39427516870935592,-6.0812887236735174,70037,401267
2024-03-25,13398,81506,-9.7975070906105373,0.38653502523265743,-6.1556061453572566,69917,409256
2024-04-01,19397,105080,-9.8151002732381283,0.37998810981282194,-5.7213155558309206,100056,531148
2024-04-08,20436,108334,-9.7927921315325932,0.39304127349510121,-5.6504073608232668,104935,546338
2024-04-15,21723,110522,-9.8047000874649,0.38157368511104356,-5.8331058380532692,109975,546083
2024-04-22,14642,95821,-9.78380685698675,0.39348656719083958,-5.8982817271313088,74896,477141
2024-04-29,13812,112097,-9.750579206487112,0.41348332189660159,-5.6980003326441,70212,558616
2024-05-06,17106,118446,-9.7411434584356353,0.41273099147195919,-5.3788808922206792,84457,595624
2024-05-13,15439,88832,-9.7800051816827533,0.38974395410242119,-5.6739120138312407,77528,443314
2024-05-20,13943,98885,-9.7321953668507462,0.42653668787898907,-5.8657839415056943,70097,489775
2024-05-27,16816,96774,-9.7676022835394836,0.40047472009054119,-6.0388439953532913,86700,486478
2024-06-03,15073,87243,-9.7779804949247,0.39789968474552545,-6.102521360754956,77951,447189
2024-06-10,13541,76187,-9.7937375378480169,0.39070713296860687,-6.1063256782251338,68534,383174
2024-06-17,11302,60953,-9.80914882321713,0.38086870321595556,-6.2194112811336959,60492,311808
2024-06-24,10331,60205,-9.7872906785403142,0.39168774558055947,-6.1725906524130663,53741,304241
2024-07-01,11485,56292,-9.79695254680017,0.38616050482598713,-6.72599736726213,61017,293431
2024-07-08,10636,54836,-9.7823899962391909,0.40565949790007344,-6.4991219946293484,56118,284866
2024-07-15,12434,58774,-9.79986327810841,0.4036958040725126,-6.4577017282236726,64690,301496
2024-07-22,11046,76413,-9.7836773492667071,0.40474181544872351,-6.1244074652404,57058,359290
2024-07-29,19587,82655,-9.8186807576453763,0.38965712087178872,-6.7148536148246842,96776,394840
2024-08-05,15949,73604,-9.8040629506552115,0.385960078105226,-6.6259358536272126,82895,370604
2024-08-12,13761,72306,-9.8070997747256747,0.38675343987673838,-6.5391433902196754,69156,357376
2024-08-19,12925,73417,-9.822553191489364,0.3703637099875044,-6.082189898762314,67571,362528
2024-08-26,15181,66558,-9.806435676174166,0.38228744595289466,-6.5816397324084166,77549,340450
2024-09-02,14920,73126,-9.8144436997319033,0.37428909156398921,-6.6136335481907462,73252,362963
2024-09-09,13600,59878,-9.85220588235294,0.33749158204070118,-6.4236531742826344,70347,300967
2024-09-16,15465,71593,-9.8368574199806034,0.36457453735601292,-6.1437456370152619,81179,368942
2024-09-23,22944,95935,-9.8602902719665284,0.34604826143343986,-5.5976944517895566,118293,480787
2024-09-30,34344,123867,-9.8454751921733,0.35302020707118226,-5.7078651741373605,177067,627706
2024-10-07,24974,106869,-9.8122247137022516,0.37714815628158305,-5.7031753621897474,130434,543120
2024-10-14,21154,90170,-9.8268885317197654,0.37878962133425548,-5.8380550347020144,111378,458405
2024-10-21,18993,81691,-9.8280419101774346,0.37616603876964566,-5.8761938845062796,101674,415777
2024-10-28,15416,72575,-9.82427348209652,0.36777040030020863,-6.0589359261019631,79852,364924
2024-11-04,11659,60979,-9.8315893301312336,0.35930820877463243,-5.9149342822188755,60572,303390
2024-11-11,11614,61694,-9.825340106767694,0.36639050917896115,-5.8255991914718015,61421,309151
2024-11-18,12066,65861,-9.8290237029670191,0.36151083934513495,-6.271728677422983,64167,334943
2024-11-25,10993,64694,-9.81829345947421,0.36753129976174986,-5.8291492875794413,58699,329408
2024-12-02,9570,51214,-9.79096133751306,0.37790476756008529,-6.2827715347653639,49372,257867
2024-12-09,10792,57698,-9.8196349147516688,0.3520817739273695,-5.7276344910248165,54206,281089
2024-12-16,9884,53204,-9.8161675435046529,0.36518205109363572,-5.93472808605338,50901,264695
2024-12-23,10851,46771,-9.8249009307897861,0.36008342204209881,-6.2444741806589859,57680,246676
2024-12-30,9501,44406,-9.818229660035783,0.36743529654274237,-6.3816340246534251,49653,231457
2025-01-06,8661,46853,-9.7966170188199975,0.38774394521361416,-6.58670318971816,42222,235616
2025-01-13,10684,87053,-9.742418569824034,0.41615508095497061,-5.530218369189452,54441,450132
2025-01-20,10242,74502,-9.7280316344463991,0.41803896736963747,-5.9275566225094334,50089,367497
2025-01-27,8754,72973,-9.7322938085446644,0.42221805281456232,-5.8345967713614995,42747,348263
2025-02-03,7863,78155,-9.721289584128197,0.41537117543586732,-5.5809875907214934,38661,357233
2025-02-10,7429,70814,-9.6930946291560112,0.43207987717307883,-6.2890817090810067,36417,334133
2025-02-17,8593,61618,-9.7305946700802917,0.41675883448523965,-6.3540741743064748,44174,312960
2025-02-24,7443,54667,-9.7354561332795928,0.41636006165854178,-6.2764452685457748,37024,273839
2025-03-03,6828,56437,-9.7221001757469256,0.42505310906069177,-5.9470972990008937,35982,277545
2025-03-10,6897,54048,-9.761418007829489,0.40830689473081366,-6.4644140871474294,35764,254616
2025-03-17,12568,68410,-9.7990133672819884,0.37780886350137471,-6.6589126066009072,66889,352520
2025-03-24,10650,58547,-9.7945539906103285,0.38402753331965928,-6.5293223190657583,55842,301592
2025-03-31,9351,54852,-9.7925890279114522,0.39025240969966069,-6.58970015458942,48547,275153
2025-04-07,8487,59626,-9.7725933781076915,0.40086008459043049,-6.2297119077521419,43976,293485
2025-04-14,8131,53349,-9.7613454679621228,0.4074401654062651,-6.1252781169969142,42859,272002
2025-04-21,7100,50595,-9.7919718309859167,0.38380777590032583,-6.4868406738823756,37923,251523
2025-04-28,8617,50649,-9.8034698851108288,0.37450466363814605,-6.11411310860195,46101,258685
2025-05-05,9024,57146,-9.7985372340425556,0.38070215923362843,-5.9767105124159121,47361,291713
2025-05-12,9369,66213,-9.7718539865513954,0.40348184321818825,-6.0899616463166373,47203,319571
2025-05-19,12823,75426,-9.82383217655775,0.36251569997509386,-5.650119794276848,66003,374956
2025-05-26,10072,65847,-9.7876787132644942,0.38813718510718037,-5.9153368136137807,52613,338006
2025-06-02,9489,56040,-9.7698914532616712,0.40075392537740961,-6.00528074871244,48734,286660
2025-06-09,13383,76919,-9.7803183142793078,0.40107424163231847,-5.2807349233190779,71850,389589
2025-06-16,117,625,-9.7863247863247871,0.4063941485175534,-4.7871519979681807,535,2457
2025-06-23,111,1315,-9.8918918918918912,0.29699560300850941,-5.044680242545498,508,4856
2025-06-30,6949,45639,-9.7871636206648436,0.39228582504651766,-5.750534940875081,35719,232498
2025-07-07,10339,63883,-9.7816519972918048,0.41428466552179027,-6.4495865152210081,52674,310971
2025-07-14,11457,62955,-9.818538884524747,0.3655396949532293,-6.0445291408813437,59143,319740
2025-07-21,8798,69368,-9.78836099113435,0.38794031560595943,-6.2432696190658685,45392,352496
2025-07-28,8739,78351,-9.7618720677423028,0.41376462417899945,-5.8191086334886277,44378,384058
2025-08-04,8241,70270,-9.7462686567164187,0.39924804338269038,-6.1108022289220392,43105,365374
2025-08-11,8676,63077,-9.7884970032272953,0.38410673362390563,-6.37002696821297,45542,322203
2025-08-18,7926,63455,-9.7510093363613386,0.403434298836242,-6.3797760960341661,43299,330733
2025-08-25,11514,68629,-9.7938162237276316,0.3919319790516857,-6.4977540284684983,62666,358297
2025-09-01,8085,60259,-9.7755720470006171,0.40278678524679634,-6.2402842651346582,43271,311248
2025-09-08,13034,79764,-9.72782722111401,0.46571365608144805,-6.3552168805235159,67900,397134
2025-09-15,10739,79387,-9.73172548654437,0.434218214590037,-5.9359506710870455,56543,403227
2025-09-22,9498,81901,-9.7766898294377782,0.39414466730855446,-5.6379085508765865,48384,394958
2025-09-29,9351,92581,-9.7192278900652358,0.43791958646570783,-5.3042173271154507,50682,462058
2025-10-06,11013,103301,-9.71016071915009,0.44266564245129786,-5.4147131042767533,57177,516715
2025-10-13,10751,92977,-9.7197935075806878,0.42739099701989341,-5.6028896760669777,57560,474551
2025-10-20,7634,59448,-9.7536023054755017,0.40476105632953868,-5.8622616341775791,39621,294493
2025-10-27,7976,50891,-9.7572091273821435,0.39899332183434438,-6.7277142574895983,42096,265956
2025-11-03,7670,49011,-9.6970013037809633,0.44641558342409016,-6.6169761244781684,39693,245144
2025-11-10,6310,44842,-9.7118066561014267,0.43896274013615333,-6.4288208720042528,31676,222059
2025-11-17,7545,46628,-9.78330019880716,0.39199232539938578,-6.8038265552140329,38906,228903
2025-11-24,7075,40433,-9.7850883392226109,0.38277826460881892,-6.7166036616344407,35524,202783
2025-12-01,6359,43693,-9.7672590029878936,0.39639840589644693,-6.4485335590236446,32219,215277
2025-12-08,5628,37790,-9.7860696517412968,0.39488192265668137,-6.6529246042051682,28648,187306
2025-12-15,5432,37532,-9.7982326951399124,0.37256866238157305,-6.2350930953106278,27198,181966
2025-12-22,5628,37064,-9.790067519545131,0.37569076816765123,-6.5329818077859283,29116,183118
2025-12-29,4584,35217,-9.7962478184991255,0.38354646468074755,-6.294253396456325,23536,172543
2026-01-05,4793,33048,-9.7993949509701643,0.37430186694102552,-6.630882635332549,24161,159397
2026-01-12,4882,37231,-9.7860507988529282,0.39154139354142165,-6.0679299793291976,23962,175065
2026-01-19,4739,38528,-9.780333403671662,0.38706040936053321,-6.1670679245170028,24434,181155
2026-01-26,5560,38811,-9.7734712230215823,0.39399545285797644,-5.9989813714532314,28083,193727
2026-02-02,4773,35840,-9.7802220825476667,0.37858456237699378,-6.4294741250169558,23684,172610
2026-02-09,4760,42152,-9.7769957983193283,0.38721179927609056,-6.3779256252556928,24777,201651
2026-02-16,5252,41482,-9.7852246763137884,0.37748312894985542,-6.0727735887577365,26378,197602
2026-02-23,10800,59220,-9.8152314814814829,0.37455958288040014,-5.33725442666506,53677,280282
2026-03-02,19899,77111,-9.8631589527111974,0.33321970501134646,-5.37078978282333,97370,369982
2026-03-09,14394,59183,-9.84778379880506,0.34993565757120054,-5.5899677254227358,72796,295739
2026-03-16,14483,58885,-9.8513774770420444,0.34720658292017675,-5.5822422998203738,71511,285521
2026-03-23,13088,53905,-9.8415724327628311,0.35006471902522246,-5.7898366019149767,66149,273377
2026-03-30,10888,48652,-9.8333027185892785,0.35916844069613624,-5.9528977940666383,56597,256272
2026-04-06,11612,56526,-9.8343954529796775,0.35302529466794119,-5.6844103124939052,59949,280019
2026-04-13,7499,49641,-9.8155754100546684,0.36709859072756723,-5.3207588695639085,37457,238985
2026-04-20,7545,43864,-9.8116633532140511,0.36974913841708335,-5.67350621175764,38581,218017
2026-04-27,6605,40787,-9.781453444360336,0.39073887650769679,-6.1069459098514205,34578,209312
2026-05-04,6455,36485,-9.7845855925639071,0.39533933882169303,-5.9261175942718474,33766,183191
2026-05-11,7725,44114,-9.7494498381877044,0.41226819543584803,-6.3434397187691385,40530,222926
2026-05-18,6336,46137,-9.71385732323232,0.42979471008944331,-5.8794803903678909,33496,231567
2026-05-25,7625,42149,-9.7931147540983581,0.38334771786870236,-5.8347075175190106,40586,212618
2026-06-01,9604,50721,-9.8190337359433553,0.35650200911396923,-5.8386416801626124,48935,249768
2026-06-08,9429,47995,-9.82564428889596,0.36337105650805662,-5.6230507957403884,48763,237248
2026-06-15,7119,46905,-9.8138081191178514,0.36145266329278791,-5.1778715853033432,36532,227950
2026-06-22,5451,37750,-9.7868281049348766,0.38677548614822665,-5.7624921722401439,27335,181969
2026-06-29,5032,33229,-9.7868640699523031,0.39227324349220938,-5.8949882337269512,25144,163050
2026-07-06,5155,35418,-9.7723569350145478,0.39560322762305239,-5.5160401269196528,25719,170674
2026-07-13,4723,34987,-9.7670971839932257,0.40060492758265515,-6.1251982725427094,23882,170903
2026-07-20,6697,38520,-9.81081081081081,0.37463588401804337,-6.4387607703850112,32921,187857
2026-07-27,5826,42341,-9.78106762787504,0.38490883137815313,-5.8866868658213791,29108,199162
2026-08-03,5262,35515,-9.77993158494869,0.38889272906271305,-6.0426718673638469,26180,175336
2026-08-10,5175,36217,-9.79497584541063,0.36768095844294457,-5.79092843016753,25431,176807
2026-08-17,7098,45202,-9.7812764158918011,0.38986050399962185,-5.7863511967678223,35596,219271
2026-08-24,5641,33544,-9.7827512852331164,0.408359392724657,-5.9729320812538962,27658,164787
