week_start,conflict_count,total_events_country,avg_goldstein,goldstein_std,avg_tone,conflict_mentions,total_mentions_country,available_from,wb_observation_year,inflation_pct,unemployment_pct,gdp_growth_pct,wb_feature_age_years,data_quality_gap_week,origin_valid_full_features,conflict_count_t,conflict_count_lag1,conflict_count_lag2,conflict_count_lag4,conflict_count_lag12,rolling_mean_4w,rolling_std_4w,rolling_mean_8w,rolling_std_12w,rolling_max_8w,cumulative_conflict_12w,goldstein_volatility_4w,news_volume_change_wow,conflict_share,mentions_per_conflict
2022-01-03,3110,22681,-9.873151125401929,0.3065743232677148,-5.830090845990095,16717,117031,2022-01-01,2020,-0.575254620897756,4.169,-1.80206927953466,2,False,True,3110.0,,,,,,,,,,,,,0.13711917463956616,5.37524115755627
2022-01-10,2600,21527,-9.807115384615383,0.3727018152458853,-5.616748441209566,13593,113269,2022-01-01,2020,-0.575254620897756,4.169,-1.80206927953466,2,False,True,2600.0,3110.0,,,,,,,,,,,-0.05087959084696447,0.12077855716077485,5.228076923076923
2022-01-17,2213,22635,-9.782647989154992,0.3773382093348471,-4.931416608063661,11800,117380,2022-01-01,2020,-0.575254620897756,4.169,-1.80206927953466,2,False,True,2213.0,2600.0,3110.0,,,,,,,,,,0.051470246666976305,0.09776894190413077,5.332128332580208
2022-01-24,1927,20627,-9.805396990140116,0.3559491948814184,-4.83673317455442,10111,103785,2022-01-01,2020,-0.575254620897756,4.169,-1.80206927953466,2,False,True,1927.0,2213.0,2600.0,,,2462.5,512.2411541451936,,,,,0.03900991641327078,-0.08871217141594878,0.09342124400058176,5.247016087182148
2022-01-31,2283,24808,-9.79150240911082,0.3786913827086008,-5.136347182441771,12010,125553,2022-01-01,2020,-0.575254620897756,4.169,-1.80206927953466,2,False,True,2283.0,1927.0,2213.0,3110.0,,2255.75,276.37821308248346,,,,,0.011670291716035678,0.20269549619430838,0.09202676555949693,5.260621988611476
2022-02-07,2844,24915,-9.837025316455692,0.3654586901832629,-5.895975921629406,15394,125781,2022-01-01,2020,-0.575254620897756,4.169,-1.80206927953466,2,False,True,2844.0,2283.0,1927.0,2600.0,,2316.75,383.7537187659119,,,,,0.023837220586680172,0.004313124798452028,0.11414810355207707,5.412798874824191
2022-02-14,3252,25941,-9.8310270602706,0.34742067981934,-6.168171243626868,16775,126588,2022-01-01,2020,-0.575254620897756,4.169,-1.80206927953466,2,False,True,3252.0,2844.0,2283.0,2213.0,,2576.5,587.6078624388887,,,,,0.021449209624311186,0.04118001204093913,0.12536139701630622,5.158364083640836
2022-02-21,2087,21184,-9.81839961667465,0.3618779283855059,-5.011187340433592,10922,104682,2022-01-01,2020,-0.575254620897756,4.169,-1.80206927953466,2,False,True,2087.0,3252.0,2844.0,1927.0,,2616.5,531.416032878196,2539.5,,3252.0,,0.02020796257775669,-0.18337766470066685,0.09851774924471299,5.2333493052228075
2022-02-28,2184,21562,-9.84661172161172,0.3246725167366456,-5.4470339081135215,11012,101926,2022-01-01,2020,-0.575254620897756,4.169,-1.80206927953466,2,False,True,2184.0,2087.0,3252.0,2283.0,,2591.75,553.9532922548615,2423.75,,3252.0,,0.011807666292418677,0.01784365558912393,0.1012893052592524,5.042124542124542
2022-03-07,2478,24285,-9.854923325262304,0.3246655590680564,-5.468640491919985,12771,111430,2022-01-01,2020,-0.575254620897756,4.169,-1.80206927953466,2,False,True,2478.0,2184.0,2087.0,2844.0,,2500.25,528.0191757881526,2408.5,,3252.0,,0.016259234275380077,0.1262869863649012,0.10203829524397777,5.153753026634383
2022-03-14,2251,20776,-9.868058640604168,0.3071831999597782,-5.383925680128985,11917,102110,2022-01-01,2020,-0.575254620897756,4.169,-1.80206927953466,2,False,True,2251.0,2478.0,2184.0,3252.0,,2250.0,166.24279433005972,2413.25,,3252.0,,0.021010934475195746,-0.14449248507309043,0.1083461686561417,5.2940915148822745
2022-03-21,2611,26737,-9.839908081194944,0.3507417307116997,-6.058270387530817,14679,126223,2022-01-01,2020,-0.575254620897756,4.169,-1.80206927953466,2,False,True,2611.0,2251.0,2478.0,2087.0,,2381.0,198.34145641628524,2498.75,411.960354079532,3252.0,29840.0,0.012125867470464595,0.2869175972275704,0.09765493510865093,5.621983914209116
2022-03-28,6594,34097,-9.89353958143767,0.2908600056283877,-6.938165468036313,33930,168600,2022-01-01,2020,-0.575254620897756,4.169,-1.80206927953466,2,False,True,6594.0,2611.0,2251.0,2184.0,3110.0,3483.5,2078.9863716083696,3037.625,1255.4226379988534,6594.0,33324.0,0.022743642818071633,0.27527396491753,0.19338944775200165,5.145586897179254
2022-04-04,4745,25993,-9.888092729188616,0.286933413842979,-6.558510005650732,24453,133805,2022-01-01,2020,-0.575254620897756,4.169,-1.80206927953466,2,False,True,4745.0,6594.0,2611.0,2478.0,2600.0,4050.25,2021.7222649678338,3275.25,1374.945362550818,6594.0,35469.0,0.024274237657450248,-0.23767486875678212,0.1825491478474974,5.153424657534247
2022-04-11,6495,27799,-9.878829869130099,0.2942156414990683,-7.05979297379725,33091,142226,2022-01-01,2020,-0.575254620897756,4.169,-1.80206927953466,2,False,True,6495.0,4745.0,6594.0,2251.0,2213.0,5111.25,1870.7129434166716,3680.625,1685.2805247108554,6594.0,39751.0,0.02422954138492692,0.06948024468126035,0.23364149789560776,5.094842186297152
2022-04-18,5592,28107,-9.867846924177394,0.3030102585244892,-5.785025921114486,29751,144869,2022-01-01,2020,-0.575254620897756,4.169,-1.80206927953466,2,False,True,5592.0,6495.0,4745.0,2611.0,1927.0,5856.5,867.3678573707931,4118.75,1742.4753030726665,6594.0,43416.0,0.011263786920696503,0.011079535235080318,0.1989539972248906,5.320278969957082
2022-04-25,4470,23685,-9.88109619686801,0.3065820162693611,-6.328691250913482,22799,122312,2022-01-01,2020,-0.575254620897756,4.169,-1.80206927953466,2,False,True,4470.0,5592.0,6495.0,6594.0,2283.0,5325.5,914.259809900884,4404.5,1704.099875700845,6594.0,45603.0,0.008396175764442312,-0.15732735617461846,0.18872704243191893,5.100447427293065
2022-05-02,3825,25528,-9.85503267973856,0.3447019894580793,-6.3355982858766415,19730,127451,2022-01-01,2020,-0.575254620897756,4.169,-1.80206927953466,2,False,True,3825.0,4470.0,5592.0,4745.0,2844.0,5095.5,1184.6986958716552,4572.875,1677.3767940122777,6594.0,46584.0,0.011941253970693668,0.07781296179016262,0.1498354747727985,5.158169934640523
2022-05-09,9914,37849,-9.915624369578378,0.2597187455854211,-6.399378689607923,45404,182267,2022-01-01,2020,-0.575254620897756,4.169,-1.80206927953466,2,False,True,9914.0,3825.0,4470.0,6495.0,3252.0,5950.25,2741.5010942912277,5530.75,2397.709620500869,9914.0,53246.0,0.02608525587685313,0.4826465057975555,0.2619355861449444,4.579786160984466
2022-05-16,4912,26766,-9.889149022801304,0.2982647305737594,-6.22001206727468,23352,130232,2022-01-01,2020,-0.575254620897756,4.169,-1.80206927953466,2,False,True,4912.0,9914.0,3825.0,5592.0,2087.0,5780.25,2791.74406360373,5818.375,2281.870383472666,9914.0,56071.0,0.024954243743919836,-0.29282147480778886,0.18351640140476724,4.754071661237785
2022-05-23,4995,27415,-9.89239239239239,0.2993153684827326,-5.732262471280568,22786,132093,2022-01-01,2020,-0.575254620897756,4.169,-1.80206927953466,2,False,True,4995.0,4912.0,9914.0,4470.0,2184.0,5911.5,2721.0574537607004,5618.5,2143.249140624551,9914.0,58882.0,0.024970339185449688,0.024247179257266716,0.18219952580703994,4.561761761761762
